"","logFC","logCPM","LR","PValue","FDR"
"EIF5A",-0.0439405442362149,9.3626200412974,0.155077174928692,0.69372989038903,0.793585609039462
"LL22NC03.86G7.1",0.260995121794029,-2.56095328722591,0.154683254411626,0.694099453813246,0.793931640956216
"SDF2L1",0.04592326611229,5.10651927882224,0.154662048420152,0.694119363991301,0.793931640956216
"RP4.706A16.3",0.0614969700847284,2.31688457359242,0.154597877644151,0.694179623149953,0.793950818908739
"AMH",0.155672347334489,-1.448204164535,0.15452919314099,0.694244136896416,0.793974860233308
"KTI12",-0.0499160131917286,4.03811190483729,0.154387153479968,0.694377603955929,0.794029590464367
"ESPNL",0.368787876406594,-3.12270747789672,0.154385683484418,0.694378985602473,0.794029590464367
"HNRNPL",-0.0428806585700126,8.37458814664378,0.154118063477142,0.694630647865083,0.794267615206833
"ZNF593",-0.0510437334145686,4.23316953655871,0.154067847001237,0.694677898108122,0.794271892143541
"ST13P18",0.275850597136109,-2.66543163756282,0.154021298155216,0.694721705301665,0.794272232121369
"TMED3",0.0441564970795594,5.90943813503935,0.153740909998717,0.694985740774116,0.794524342299066
"PEX26",-0.0439442979158916,5.97284550457232,0.153131378982465,0.695560682779399,0.795123590847421
"MTCH2",-0.0424943223444583,6.41818888391598,0.153092894138677,0.6955970279832,0.795123590847421
"RP3.352A20.1",-0.396850320780599,-3.22896623837048,0.152897601362548,0.695781544311033,0.795270307133827
"MRI1",-0.0446382418039703,5.18196561074707,0.152808831502679,0.69586546067541,0.795270307133827
"RP11.415F23.2",0.0853554430993504,0.878636406699844,0.152788403231721,0.695884776006874,0.795270307133827
"UNC119B",0.0463857416445407,5.29997476610223,0.152772686290393,0.695899637696837,0.795270307133827
"TIGD2",-0.0932906989392756,0.134124718843338,0.152555473660806,0.696105120817809,0.795454858312326
"AK7",-0.171076485772984,-1.68915199582287,0.152438153896986,0.696216175431951,0.795454858312326
"PLEKHH2",0.208228641822574,-2.12519830624003,0.152423364580959,0.696230178459076,0.795454858312326
"PHKG1",0.110724945241762,-0.470379871438229,0.152413557685601,0.696239464392648,0.795454858312326
"LRTOMT",0.068829374224637,1.41286775563775,0.15237180603012,0.696279001970565,0.795454858312326
"NCKAP1",-0.0741849469100003,1.1041066907501,0.152222115318357,0.696420805960505,0.79553719198741
"RP5.874C20.3",-0.0655286360152195,1.72008055820419,0.152203729410789,0.696438228712725,0.79553719198741
"HMGB2",-0.0454032742710057,8.423011192741,0.151794912537326,0.696825943111659,0.795833024687955
"SAMD12",0.121925490512861,-0.850688571254932,0.151792956565267,0.696827799564278,0.795833024687955
"LINC00618",0.295565968301314,-2.7972539832617,0.151792749621226,0.696827995979856,0.795833024687955
"ZNF277",-0.0588126655089479,2.89850035912741,0.151676823500299,0.696938048504333,0.795890580273752
"HARS2",0.049815379681947,4.41736409276568,0.151647821754422,0.696965588400778,0.795890580273752
"FUT7",0.373841688527039,-3.15449881716898,0.151471958752523,0.69713265191594,0.796031560688402
"SLC24A1",-0.068756363029591,1.72294855828759,0.151381343901413,0.697218776356458,0.796080107729994
